,datum,tage,lebenszahl,paarsumme
502805,20.08.1377,502805,1,168
502835,19.09.1377,502835,1,168
502864,18.10.1377,502864,1,168
502894,17.11.1377,502894,1,168
502923,16.12.1377,502923,1,168
533618,31.12.1461,533618,1,168
533982,30.12.1462,533982,1,168
534287,31.10.1463,534287,1,168
534317,30.11.1463,534317,1,168
534346,29.12.1463,534346,1,168
534652,30.10.1464,534652,1,168
534682,29.11.1464,534682,1,168
534711,28.12.1464,534711,1,168
534957,31.08.1465,534957,1,168
534987,30.09.1465,534987,1,168
535016,29.10.1465,535016,1,168
535046,28.11.1465,535046,1,168
535075,27.12.1465,535075,1,168
535291,31.07.1466,535291,1,168
535321,30.08.1466,535321,1,168
535351,29.09.1466,535351,1,168
535380,28.10.1466,535380,1,168
535410,27.11.1466,535410,1,168
535439,26.12.1466,535439,1,168
535655,30.07.1467,535655,1,168
535685,29.08.1467,535685,1,168
535715,28.09.1467,535715,1,168
535744,27.10.1467,535744,1,168
535774,26.11.1467,535774,1,168
535803,25.12.1467,535803,1,168
535961,31.05.1468,535961,1,168
535991,30.06.1468,535991,1,168
536020,29.07.1468,536020,1,168
536050,28.08.1468,536050,1,168
536080,27.09.1468,536080,1,168
536109,26.10.1468,536109,1,168
536139,25.11.1468,536139,1,168
536168,24.12.1468,536168,1,168
536325,30.05.1469,536325,1,168
536355,29.06.1469,536355,1,168
536384,28.07.1469,536384,1,168
536414,27.08.1469,536414,1,168
536444,26.09.1469,536444,1,168
536473,25.10.1469,536473,1,168
536503,24.11.1469,536503,1,168
536532,23.12.1469,536532,1,168
536630,31.03.1470,536630,1,168
536660,30.04.1470,536660,1,168
536689,29.05.1470,536689,1,168
536719,28.06.1470,536719,1,168
536748,27.07.1470,536748,1,168
536778,26.08.1470,536778,1,168
536808,25.09.1470,536808,1,168
536837,24.10.1470,536837,1,168
536867,23.11.1470,536867,1,168
536896,22.12.1470,536896,1,168
536994,30.03.1471,536994,1,168
537024,29.04.1471,537024,1,168
537053,28.05.1471,537053,1,168
